i, org_row,route_id,direction_id,date,stop_id
98197, 12529, 1, 0, 20210920, 8733 
98216, 12530, 1, 0, 20210920, 8742 
98235, 12531, 1, 0, 20210920, 8292 
98254, 12532, 1, 0, 20210920, 8282 
98273, 12533, 1, 0, 20210920, 8272 
98292, 12534, 1, 0, 20210920, 8012 
98311, 12535, 1, 0, 20210920, 8022 
98330, 12536, 1, 0, 20210920, 8032 
98349, 12537, 1, 0, 20210920, 8042 
98368, 12538, 1, 0, 20210920, 8052 
98387, 12539, 1, 0, 20210920, 8062 
98406, 12540, 1, 0, 20210920, 8072 
98425, 12541, 1, 0, 20210920, 8082 
98444, 12542, 1, 0, 20210920, 8092 
98463, 12543, 1, 0, 20210920, 8102 
98482, 12544, 1, 0, 20210920, 8112 
98501, 12545, 1, 0, 20210920, 8122 
98520, 12546, 1, 0, 20210920, 8132 
98539, 12547, 1, 0, 20210920, 8142 
98558, 12548, 1, 0, 20210920, 8152 
98577, 12549, 1, 0, 20210920, 8161 
98596, 12550, 2, 0, 20210920, 8641 
98615, 12551, 2, 0, 20210920, 8652 
98634, 12552, 2, 0, 20210920, 8662 
98653, 12553, 2, 0, 20210920, 8672 
98672, 12554, 2, 0, 20210920, 8682 
98691, 12555, 2, 0, 20210920, 8692 
98710, 12556, 2, 0, 20210920, 8702 
98729, 12557, 2, 0, 20210920, 8712 
98748, 12558, 2, 0, 20210920, 8722 
98767, 12559, 2, 0, 20210920, 8732 
98786, 12560, 2, 0, 20210920, 8742 
98805, 12561, 2, 0, 20210920, 8292 
98824, 12562, 2, 0, 20210920, 8282 
98843, 12563, 2, 0, 20210920, 8272 
98862, 12564, 2, 0, 20210920, 8012 
98881, 12565, 2, 0, 20210920, 8022 
98900, 12566, 2, 0, 20210920, 8032 
98919, 12567, 2, 0, 20210920, 8042 
98938, 12568, 2, 0, 20210920, 8052 
98957, 12569, 2, 0, 20210920, 8062 
98976, 12570, 2, 0, 20210920, 8072 
98995, 12571, 2, 0, 20210920, 8202 
99014, 12572, 2, 0, 20210920, 8212 
99033, 12573, 2, 0, 20210920, 8222 
99052, 12574, 2, 0, 20210920, 8232 
99071, 12575, 2, 0, 20210920, 8242 
99090, 12576, 2, 0, 20210920, 8252 
99109, 12577, 2, 0, 20210920, 8262 
99128, 12578, 2, 0, 20210920, 8642 
99147, 12579, 2, 1, 20210920, 8261 
99166, 12580, 2, 1, 20210920, 8251 
99185, 12581, 2, 1, 20210920, 8241 
99204, 12582, 2, 1, 20210920, 8231 
99223, 12583, 2, 1, 20210920, 8221 
99242, 12584, 2, 1, 20210920, 8211 
99261, 12585, 2, 1, 20210920, 8201 
99280, 12586, 2, 1, 20210920, 8071 
99299, 12587, 2, 1, 20210920, 8061 
99318, 12588, 2, 1, 20210920, 8051 
99337, 12589, 2, 1, 20210920, 8041 
99356, 12590, 2, 1, 20210920, 8031 
99375, 12591, 2, 1, 20210920, 8021 
99394, 12592, 2, 1, 20210920, 8011 
99413, 12593, 2, 1, 20210920, 8271 
99432, 12594, 2, 1, 20210920, 8281 
99451, 12595, 2, 1, 20210920, 8291 
99470, 12596, 2, 1, 20210920, 8741 
99489, 12597, 2, 1, 20210920, 8731 
99508, 12598, 2, 1, 20210920, 8721 
99527, 12599, 2, 1, 20210920, 8711 
99546, 12600, 2, 1, 20210920, 8701 
99565, 12601, 2, 1, 20210920, 8691 
99584, 12602, 2, 1, 20210920, 8681 
99603, 12603, 2, 1, 20210920, 8671 
99622, 12604, 2, 1, 20210920, 8661 
99641, 12605, 2, 1, 20210920, 8651 
99660, 12606, 2, 1, 20210920, 8642 
99679, 12607, 2, 1, 20210920, 8641 
99698, 12608, 1, 0, 20210920, 8162 
99717, 12609, 1, 1, 20210920, 8162 
99736, 12610, 1, 1, 20210920, 8151 
99755, 12611, 1, 1, 20210920, 8141 
99774, 12612, 1, 1, 20210920, 8131 
99793, 12613, 1, 1, 20210920, 8121 
99812, 12614, 1, 1, 20210920, 8111 
99831, 12615, 1, 1, 20210920, 8101 
99850, 12616, 1, 1, 20210920, 8091 
99869, 12617, 1, 1, 20210920, 8081 
99888, 12618, 1, 1, 20210920, 8071 
99907, 12619, 1, 1, 20210920, 8061 
99926, 12620, 1, 1, 20210920, 8051 
99945, 12621, 1, 1, 20210920, 8041 
99964, 12622, 1, 1, 20210920, 8031 
99983, 12623, 1, 1, 20210920, 8021 
100002, 12624, 1, 1, 20210920, 8011 
100021, 12625, 1, 1, 20210920, 8271 
100040, 12626, 1, 1, 20210920, 8281 
100059, 12627, 1, 1, 20210920, 8291 
100078, 12628, 1, 1, 20210920, 8741 
100097, 12629, 1, 1, 20210920, 8731 
100116, 12630, 1, 1, 20210920, 8161 
100135, 12631, 1, 1, 20210920, 8721 
100154, 12632, 1, 1, 20210920, 8711 
100173, 12633, 1, 1, 20210920, 8701 
100192, 12634, 1, 1, 20210920, 8691 
100211, 12635, 1, 1, 20210920, 8681 
100230, 12636, 1, 1, 20210920, 8671 
100249, 12637, 1, 1, 20210920, 8661 
100268, 12638, 1, 1, 20210920, 8651 
100287, 12639, 1, 1, 20210920, 8642 
100306, 12640, 2, 0, 20210920, 8733 
100325, 12642, 2, 1, 20210920, 8743 
100344, 12643, 3, 1, 20210920, 8381 
100363, 12644, 3, 1, 20210920, 8743 
100382, 12645, 3, 1, 20210920, 8753 
100401, 12646, 3, 1, 20210920, 8763 
100420, 12647, 3, 1, 20210920, 8773 
100439, 12648, 3, 1, 20210920, 8783 
100458, 12649, 3, 1, 20210920, 8793 
100477, 12650, 3, 1, 20210920, 8803 
100496, 12651, 3, 1, 20210920, 8813 
100515, 12652, 3, 1, 20210920, 8823 
100534, 12653, 3, 1, 20210920, 8834 
100553, 12654, 4, 1, 20210920, 8471 
100572, 12655, 4, 1, 20210920, 8461 
100591, 12656, 4, 1, 20210920, 8441 
100610, 12657, 4, 1, 20210920, 8431 
100629, 12658, 4, 1, 20210920, 8421 
100648, 12659, 4, 1, 20210920, 8411 
100667, 12660, 4, 1, 20210920, 8401 
100686, 12661, 4, 1, 20210920, 8301 
100705, 12662, 4, 1, 20210920, 8311 
100724, 12663, 4, 1, 20210920, 8321 
100743, 12664, 4, 1, 20210920, 8331 
100762, 12665, 4, 1, 20210920, 8341 
100781, 12666, 4, 1, 20210920, 8351 
100800, 12667, 4, 1, 20210920, 8361 
100819, 12668, 4, 1, 20210920, 8371 
100838, 12669, 4, 1, 20210920, 8381 
100857, 12670, 4, 1, 20210920, 8743 
100876, 12671, 4, 1, 20210920, 8753 
100895, 12672, 4, 1, 20210920, 8763 
100914, 12673, 4, 0, 20210920, 8764 
100933, 12674, 4, 0, 20210920, 8754 
100952, 12675, 4, 0, 20210920, 8744 
100971, 12676, 4, 0, 20210920, 8382 
100990, 12677, 4, 0, 20210920, 8372 
101009, 12678, 4, 0, 20210920, 8362 
101028, 12679, 4, 0, 20210920, 8352 
101047, 12680, 4, 0, 20210920, 8342 
101066, 12681, 4, 0, 20210920, 8332 
101085, 12682, 4, 0, 20210920, 8322 
101104, 12683, 4, 0, 20210920, 8312 
101123, 12684, 4, 0, 20210920, 8302 
101142, 12685, 4, 0, 20210920, 8402 
101161, 12686, 4, 0, 20210920, 8412 
101180, 12687, 4, 0, 20210920, 8422 
101199, 12688, 4, 0, 20210920, 8432 
101218, 12689, 4, 0, 20210920, 8442 
101237, 12690, 4, 0, 20210920, 8462 
101256, 12691, 4, 0, 20210920, 8472 
101275, 12692, 3, 1, 20210920, 8471 
101294, 12693, 3, 1, 20210920, 8461 
101313, 12694, 3, 1, 20210920, 8441 
101332, 12695, 3, 1, 20210920, 8431 
101351, 12696, 3, 1, 20210920, 8421 
101370, 12697, 3, 1, 20210920, 8411 
101389, 12698, 3, 1, 20210920, 8401 
101408, 12699, 3, 1, 20210920, 8301 
101427, 12700, 3, 1, 20210920, 8311 
101446, 12701, 3, 1, 20210920, 8321 
101465, 12702, 3, 1, 20210920, 8331 
101484, 12703, 3, 1, 20210920, 8341 
101503, 12704, 3, 1, 20210920, 8351 
101522, 12705, 3, 1, 20210920, 8361 
101541, 12706, 3, 1, 20210920, 8371 
101560, 12707, 3, 1, 20210920, 8833 
101579, 12708, 3, 0, 20210920, 8833 
101598, 12709, 3, 0, 20210920, 8824 
101617, 12710, 3, 0, 20210920, 8814 
101636, 12711, 3, 0, 20210920, 8804 
101655, 12712, 3, 0, 20210920, 8794 
101674, 12713, 3, 0, 20210920, 8784 
101693, 12714, 3, 0, 20210920, 8774 
101712, 12715, 3, 0, 20210920, 8764 
101731, 12716, 3, 0, 20210920, 8754 
101750, 12717, 3, 0, 20210920, 8744 
101769, 12718, 3, 0, 20210920, 8382 
101788, 12719, 3, 0, 20210920, 8372 
101807, 12720, 3, 0, 20210920, 8362 
101826, 12721, 3, 0, 20210920, 8352 
101845, 12722, 3, 0, 20210920, 8342 
101864, 12723, 3, 0, 20210920, 8332 
101883, 12724, 3, 0, 20210920, 8322 
101902, 12725, 3, 0, 20210920, 8312 
101921, 12726, 3, 0, 20210920, 8302 
101940, 12727, 3, 0, 20210920, 8402 
101959, 12728, 3, 0, 20210920, 8412 
101978, 12729, 3, 0, 20210920, 8422 
101997, 12730, 3, 0, 20210920, 8432 
102016, 12731, 3, 0, 20210920, 8442 
102035, 12732, 3, 0, 20210920, 8462 
102054, 12733, 3, 0, 20210920, 8472 
102073, 12734, 3, 0, 20210920, 8834 
