org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time,weighted_excess,a_devided_s,LIGNE
0,14,0,20210920,3107,0.2857142857142857,"[3.1842105263157894, 167.3355855855856]","[3.104535034881648, 3.943305646507043]","[-0.07967549143414132, -163.39227993907855]",-103.22447830047273,0.7906976744186046,069b
1,14,0,20210920,3177,0.2857142857142857,"[3.1842105263157894, 167.3355855855856]","[3.947307758094076, 168.66588307275842]","[0.7630972317782865, 1.3302974871728281]",1.1213289720274708,0.6744186046511628,069b
2,14,0,20210920,3171,0.3214285714285714,"[3.1842105263157894, 167.3355855855856]","[5.268480751271442, 168.89181165320977]","[2.0842702249556524, 1.5562260676241806]",1.7507686519041965,0.7674418604651163,069b
3,14,0,20210920,3172,0.1785714285714285,"[3.1842105263157894, 167.3355855855856]","[3.5493053357405406, 168.8811051316337]","[0.36509480942475125, 1.545519546048098]",1.1106262220289702,0.8604651162790697,069b
4,14,0,20210920,3173,0.1785714285714285,"[3.1842105263157894, 167.3355855855856]","[3.1962995705985033, 169.42212199924242]","[0.012089044282713957, 2.0865364136568303]",1.3222663302032085,0.7209302325581395,069b
5,14,0,20210920,3174,0.2142857142857142,"[3.1842105263157894, 167.3355855855856]","[3.585461394019986, 178.27261901265004]","[0.4012508677041966, 10.93703342706445]",7.055429326247514,0.7674418604651163,069b
6,14,0,20210920,3175B,0.1071428571428571,"[3.1842105263157894, 167.3355855855856]","[3.1732352521815375, 169.71207923285272]","[-0.010975274134251922, 2.376493647267125]",1.4968998341192494,0.6511627906976745,069b
7,14,0,20210920,3176,0.1785714285714285,"[3.1842105263157894, 167.3355855855856]","[3.7230562908314138, 7.0052950302929275]","[0.5388457645156244, -160.33029055529266]",-101.06271401641592,0.6744186046511628,069b
8,14,0,20210920,5362,0.2972972972972973,[3.1933333333333334],[3.5731036000561214],[0.379770266722788],0.3797702667227881,0.8163265306122449,069b
9,14,0,20210920,5045,0.1891891891891892,[3.1933333333333334],[3.928574373612207],[0.7352410402788738],0.7352410402788738,0.673469387755102,069b
