org_row,route_id,direction_id,date,stop_id,on_time_rate,schedule_waiting_time,actual_waiting_time,excess_waiting_time
32970,15,0,20210908,6653F,0.27672955974842767,[],[],[]
32970,15,0,20210909,6653F,0.29874213836477986,[],[],[]
32970,15,0,20210910,6653F,0.3050314465408805,[],[],[]
32970,15,0,20210913,6653F,0.29245283018867924,[],[],[]
32970,15,0,20210914,6653F,0.2641509433962264,[],[],[]
32970,15,0,20210915,6653F,0.31761006289308175,[],[],[]
32970,15,0,20210916,6653F,0.2542372881355932,"[2.8554142591013867, 3.505239340771261, 16.983333333333334]","[4.1743601915872, 5.72783037278957, 14.96875]","[1.3189459324858137, 2.222591032018309, -2.0145833333333343]"
32970,15,0,20210917,6653F,0.2033898305084746,"[2.8554142591013867, 3.505239340771261, 16.983333333333334]","[3.995254792367241, 8.797679428462496, 0]","[1.139840533265854, 5.292440087691235, -16.983333333333334]"
32971,12,0,20210911,0470F,0.35135135135135137,[6.032871972318339],[6.143696049436229],[0.11082407711788989]
32971,12,0,20210918,0470F,0.3783783783783784,[6.032871972318339],[5.2090047178978525],[-0.8238672544204864]
32972,12,0,20210911,6864F,0.6486486486486487,[6.032871972318339],[8.958344373019738],[2.9254724007013992]
32972,12,0,20210918,6864F,0.7297297297297297,[6.032871972318339],[6.303210753969178],[0.2703387816508389]
32973,12,0,20210911,6865F,0.6756756756756757,[6.032871972318339],[8.218066488964153],[2.185194516645814]
32973,12,0,20210918,6865F,0.7837837837837838,[6.032871972318339],[6.601146276019983],[0.568274303701644]
32974,12,0,20210911,1675F,0.6216216216216216,[6.032871972318339],[8.334801102926813],[2.3019291306084737]
32974,12,0,20210918,1675F,0.6216216216216216,[6.032871972318339],[7.492535770012613],[1.4596637976942741]
32975,12,0,20210911,1677F,0.5135135135135135,[6.032871972318339],[9.192291172141287],[3.159419199822948]
32975,12,0,20210918,1677F,0.5945945945945946,[6.032871972318339],[7.671983370667572],[1.6391113983492334]
32976,12,0,20210911,1679F,0.5945945945945946,[6.032873894655902],[11.021939020215942],[4.989065125560041]
32976,12,0,20210918,1679F,0.5135135135135135,[6.032873894655902],[6.918193779072977],[0.8853198844170755]
32977,12,0,20210911,1681F,0.4864864864864865,[6.034544886582084],[11.491829447962624],[5.457284561380541]
32977,12,0,20210918,1681F,0.35135135135135137,[6.034544886582084],[6.260942174440484],[0.22639728785840063]
